county,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alameda,9,11,7,6,10,3,13,8,6,7,7,9,96
Alpine,0,0,0,0,0,0,0,0,2,0,0,0,2
Amador,0,0,0,1,1,2,3,2,1,4,0,2,16
Butte,3,2,1,2,4,5,2,4,2,4,2,3,34
Calaveras,0,0,1,0,0,0,0,2,2,3,3,0,11
Colusa,0,0,1,0,2,1,1,1,0,4,1,1,12
Contra Costa,4,8,6,4,5,10,6,7,9,6,3,9,77
Del Norte,0,0,2,1,1,0,3,0,0,2,1,1,11
El Dorado,7,6,0,2,0,4,2,1,3,3,1,0,29
Fresno,13,14,10,11,5,7,12,19,14,10,10,10,135
Glenn,1,0,0,1,1,0,0,3,0,1,0,0,7
Humboldt,3,1,0,0,2,5,1,2,6,1,1,2,24
Imperial,6,3,1,3,2,3,1,1,2,3,3,4,32
Inyo,0,1,0,1,0,1,4,2,0,0,2,1,12
Kern,11,18,4,12,7,14,12,18,10,18,13,17,154
Kings,0,0,0,0,1,1,3,4,3,3,0,1,16
Lake,0,1,0,1,2,1,0,1,0,2,5,2,15
Lassen,0,0,1,0,0,0,1,1,1,1,0,1,6
Los Angeles,53,60,52,70,55,55,72,60,51,66,77,53,724
Madera,4,2,1,3,7,1,3,3,4,5,3,3,39
Marin,3,1,1,5,1,1,2,0,5,0,1,1,21
Mariposa,1,0,0,0,1,0,0,0,1,0,0,1,4
Mendocino,3,1,1,2,2,2,4,0,3,0,4,1,23
Merced,3,2,6,2,6,6,0,3,5,9,6,6,54
Modoc,0,0,1,0,0,2,1,0,1,0,0,1,6
Mono,0,0,3,0,0,3,0,0,0,2,0,0,8
Monterey,2,2,4,4,4,4,3,1,2,2,4,3,35
Napa,1,0,1,1,0,2,1,3,6,0,3,0,18
Nevada,1,1,1,1,0,1,0,0,1,2,1,1,10
Orange,19,13,10,12,10,21,18,13,10,19,21,14,180
Placer,2,0,4,1,1,1,0,3,1,5,2,4,24
Plumas,0,0,0,0,0,0,0,0,2,0,0,1,3
Riverside,30,8,23,24,26,30,22,24,25,22,36,18,288
Sacramento,11,6,17,11,14,20,14,17,18,14,16,20,178
San Benito,1,0,0,0,1,2,2,1,1,2,0,1,11
San Bernardino,24,15,19,20,39,32,31,20,28,25,44,31,328
San Diego,15,25,25,20,19,18,15,23,16,24,29,23,252
San Francisco,3,4,6,2,4,4,3,1,1,7,1,3,39
San Joaquin,8,13,7,7,11,8,9,11,16,4,12,14,120
San Luis Obispo,2,1,4,1,0,2,6,3,5,5,2,3,34
San Mateo,5,4,1,4,3,2,2,1,3,1,1,1,28
Santa Barbara,6,4,3,5,0,4,3,0,5,2,2,4,38
Santa Clara,12,7,9,6,11,13,6,11,14,12,15,15,131
Santa Cruz,0,3,2,0,3,1,0,4,4,2,0,0,19
Shasta,2,1,3,0,1,6,2,5,5,2,7,3,37
Sierra,2,0,0,0,0,0,0,0,1,0,0,0,3
Siskiyou,0,2,3,1,0,2,1,1,0,0,0,0,10
Solano,8,4,2,3,6,2,2,3,9,3,3,1,46
Sonoma,3,1,6,2,2,2,5,5,1,3,4,2,36
Stanislaus,2,5,6,3,5,10,6,8,7,6,3,9,70
Sutter,2,0,1,0,4,3,0,8,0,6,4,1,29
Tehama,1,1,0,1,1,0,0,6,1,2,2,5,20
Trinity,0,1,0,0,2,0,1,0,2,2,0,1,9
Tulare,3,2,7,2,6,7,4,13,9,10,2,5,70
Tuolumne,4,1,1,0,1,0,0,1,2,1,0,1,12
Ventura,1,0,4,4,11,4,6,5,3,6,1,4,49
Yolo,3,1,2,2,6,3,2,3,0,2,3,1,28
Yuba,2,1,0,1,1,1,1,2,2,2,1,0,14
Total,299,257,270,265,307,332,311,338,331,347,362,318,"3,737"