county,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alameda,64,59,77,85,85,93,82,101,85,96
Alpine,1,2,1,1,1,2,5,4,2,2
Amador,7,12,6,5,7,8,14,12,12,16
Butte,46,19,24,21,25,33,35,40,36,34
Calaveras,12,8,10,7,8,11,9,20,14,11
Colusa,6,8,5,9,3,5,6,11,13,12
Contra Costa,44,51,61,50,44,76,81,66,80,77
Del Norte,7,11,9,9,9,15,8,6,10,11
El Dorado,18,18,23,25,23,27,20,27,33,29
Fresno,112,121,118,119,137,102,150,160,120,135
Glenn,7,6,4,5,12,6,11,9,9,7
Humboldt,16,28,30,28,32,27,22,40,23,24
Imperial,31,13,32,28,46,28,34,25,38,32
Inyo,8,7,6,3,0,6,7,10,0,12
Kern,109,107,128,130,111,138,148,187,147,154
Kings,24,12,22,17,13,36,30,27,21,16
Lake,16,16,17,22,8,18,15,17,11,15
Lassen,9,9,9,9,5,9,10,8,12,6
Los Angeles,568,542,628,630,644,661,847,758,741,724
Madera,27,25,29,20,31,28,39,25,36,39
Marin,2,6,10,13,9,7,12,14,16,21
Mariposa,6,3,6,3,5,3,5,7,3,4
Mendocino,20,17,24,15,19,9,25,30,37,23
Merced,31,43,46,49,37,54,72,71,56,54
Modoc,2,5,1,3,3,3,1,0,2,6
Mono,6,1,5,1,5,6,1,5,10,8
Monterey,36,51,28,31,31,49,55,58,47,35
Napa,12,8,7,16,7,15,12,16,14,18
Nevada,10,7,17,15,5,13,13,16,18,10
Orange,106,140,153,185,174,185,205,212,203,180
Placer,24,28,27,21,13,21,42,31,29,24
Plumas,4,10,8,2,5,4,9,6,6,3
Riverside,203,203,215,225,246,252,295,305,318,288
Sacramento,124,109,110,123,112,139,170,171,141,178
San Benito,4,6,10,7,9,9,11,9,12,11
San Bernardino,221,240,244,264,281,262,272,344,320,328
San Diego,189,206,223,201,230,251,244,239,268,252
San Francisco,32,33,31,35,31,38,37,25,28,39
San Joaquin,81,83,62,99,84,99,120,120,113,120
San Luis Obispo,17,24,28,27,33,36,32,34,40,34
San Mateo,18,47,40,57,26,34,50,33,30,28
Santa Barbara,32,26,31,32,23,37,34,42,35,38
Santa Clara,86,92,87,96,107,135,112,117,120,131
Santa Cruz,12,9,11,13,21,20,21,19,22,19
Shasta,19,25,27,24,27,42,26,30,31,37
Sierra,3,2,4,2,0,1,1,3,1,3
Siskiyou,8,17,14,5,8,12,11,15,17,10
Solano,29,30,20,38,49,46,39,32,58,46
Sonoma,38,29,37,30,39,48,46,43,41,36
Stanislaus,50,56,44,53,63,50,80,77,87,70
Sutter,13,13,8,14,11,19,7,23,24,29
Tehama,13,13,10,11,14,19,16,12,21,20
Trinity,8,6,1,4,6,5,8,5,8,9
Tulare,70,57,69,54,65,76,80,86,72,70
Tuolumne,7,10,6,12,10,17,11,14,8,12
Ventura,43,74,49,65,47,54,58,56,54,49
Yolo,15,21,24,19,19,26,36,20,30,28
Yuba,13,11,19,17,8,10,12,11,21,14
Total,"2,739","2,835","2,995","3,104","3,126","3,435","3,854","3,904","3,804","3,737"