county,fatal_2015,injury_2015,fatal_2016,injury_2016,fatal_2017,injury_2017,fatal_2018,injury_2018,fatal_2019,injury_2019
Alameda,15,435,19,501,28,478,17,497,12,457
Alpine,,3,,3,3,7,1,4,,1
Amador,,27,1,22,6,31,3,25,4,25
Butte,10,103,9,120,8,98,13,116,14,116
Calaveras,2,24,3,38,9,40,5,31,5,39
Colusa,1,16,,13,2,11,1,15,2,20
Contra Costa,16,282,10,319,13,320,24,351,15,368
Del Norte,1,16,1,19,3,14,1,18,,20
El Dorado,4,95,2,122,6,112,6,145,9,87
Fresno,20,329,24,289,26,252,21,271,27,270
Glenn,3,15,2,11,5,18,1,16,2,13
Humboldt,8,88,10,110,15,96,9,88,11,81
Imperial,1,38,3,40,3,43,5,52,3,51
Inyo,1,16,1,11,2,4,,5,1,10
Kern,25,362,29,335,25,396,29,409,33,399
Kings,3,53,6,42,4,61,9,51,3,67
Lake,11,51,6,40,5,51,3,41,2,51
Lassen,2,9,2,11,,10,1,14,,10
Los Angeles,64,"3,066",89,"3,451",78,"3,142",78,"3,149",77,"3,090"
Madera,3,81,8,77,9,86,7,110,8,87
Marin,,77,1,79,,88,3,86,7,92
Mariposa,2,10,1,10,3,20,1,7,2,6
Mendocino,1,67,12,78,6,84,11,73,8,54
Merced,15,133,21,139,21,147,10,158,11,146
Modoc,2,7,1,8,,8,,6,,4
Mono,1,9,,7,2,14,,10,,3
Monterey,10,168,15,164,14,171,16,213,13,236
Napa,8,83,3,61,1,63,3,93,2,83
Nevada,3,66,1,57,2,66,6,64,2,63
Orange,32,"1,064",43,"1,103",39,"1,015",46,"1,004",40,977
Placer,6,123,3,122,6,120,2,152,5,156
Plumas,1,25,2,17,3,19,3,26,1,24
Riverside,56,716,54,873,69,919,67,870,68,850
Sacramento,35,604,35,639,31,609,23,712,42,694
San Benito,1,19,1,32,2,26,3,33,4,24
San Bernardino,39,838,34,860,50,756,42,875,49,841
San Diego,42,972,48,"1,096",44,966,49,987,47,989
San Francisco,2,126,3,151,,157,1,148,3,135
San Joaquin,20,306,41,313,28,344,31,355,31,394
San Luis Obispo,9,120,8,129,15,139,10,111,13,116
San Mateo,5,195,11,211,6,226,5,236,3,228
Santa Barbara,9,190,6,180,11,200,8,161,12,199
Santa Clara,15,408,25,454,19,407,13,422,23,389
Santa Cruz,5,127,5,146,3,144,4,141,5,159
Shasta,12,102,4,102,6,89,2,82,11,81
Sierra,,5,,2,,3,,2,,9
Siskiyou,2,33,2,25,5,32,4,25,2,28
Solano,9,140,11,156,14,171,16,174,11,127
Sonoma,15,238,11,267,18,232,9,289,10,268
Stanislaus,15,204,20,235,28,278,25,284,21,265
Sutter,2,40,2,44,3,58,4,59,4,44
Tehama,3,31,4,42,5,40,5,44,3,35
Trinity,2,13,3,20,2,16,3,15,3,11
Tulare,8,167,11,185,25,160,15,193,15,192
Tuolumne,5,44,4,51,2,48,1,38,4,54
Ventura,8,250,15,314,18,310,14,323,9,321
Yolo,6,64,9,86,6,73,5,75,5,62
Yuba,1,27,4,51,3,32,6,40,3,31
Total,597,"12,920",699,"14,083",760,"13,520",700,"13,994",720,"13,652"