ccountyounty,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alameda,9,9,7,5,10,3,12,8,6,7,7,7,90
Alpine,,,,,,,,,2,,,,2
Amador,,,,1,1,2,3,2,1,1,,2,13
Butte,3,2,1,2,4,4,2,4,2,4,2,3,33
Calaveras,,,1,,,,,2,2,2,3,,10
Colusa,,,1,,1,1,1,1,,2,1,1,9
Contra Costa,3,8,6,4,5,9,6,7,8,4,3,6,69
Del Norte,,,1,1,1,,2,,,1,1,1,8
El Dorado,5,6,,2,,4,2,1,3,3,1,,27
Fresno,12,13,7,11,4,5,12,17,13,9,9,10,122
Glenn,1,,,1,1,,,1,,1,,,5
Humboldt,3,1,,,2,3,1,2,5,1,1,1,20
Imperial,5,3,1,2,2,3,1,1,2,2,3,4,29
Inyo,,1,,1,,1,2,2,,,1,1,9
Kern,11,13,4,12,7,13,12,15,8,16,12,15,138
Kings,,,,,1,1,1,4,2,3,,1,13
Lake,,1,,1,2,1,,1,,2,5,2,15
Lassen,,,1,,,,1,1,1,1,,1,6
Los Angeles,52,58,51,66,48,54,64,57,48,61,72,52,683
Madera,4,2,1,2,7,1,3,2,3,4,3,3,35
Marin,3,1,1,4,1,1,2,,5,,1,1,20
Mariposa,1,,,,1,,,,1,,,1,4
Mendocino,3,1,1,2,2,2,4,,3,,2,1,21
Merced,3,2,6,2,3,5,,3,5,7,6,5,47
Modoc,,,1,,,2,1,,1,,,1,6
Mono,,,2,,,1,,,,2,,,5
Monterey,2,2,4,4,2,4,2,1,2,2,4,3,32
Napa,1,,1,1,,2,1,3,6,,2,,17
Nevada,1,1,1,1,,1,,,1,2,1,1,10
Orange,17,10,10,11,9,21,14,13,10,17,18,14,164
Placer,2,,4,1,1,1,,3,1,5,2,4,24
Plumas,,,,,,,,,2,,,1,3
Riverside,28,8,20,24,24,29,21,21,23,20,33,18,269
Sacramento,11,6,14,11,13,18,14,16,16,13,15,17,164
San Benito,1,,,,1,2,2,1,1,2,,1,11
San Bernardino,22,14,19,20,36,26,30,19,24,21,42,29,302
San Diego,14,20,25,19,18,17,14,23,15,23,28,23,239
San Francisco,3,3,6,2,4,3,3,1,1,4,1,3,34
San Joaquin,7,12,7,7,10,8,9,10,15,3,11,12,111
San Luis Obispo,2,1,4,1,,1,6,3,3,5,2,3,31
San Mateo,5,3,1,4,3,2,2,1,3,1,1,1,27
Santa Barbara,5,3,2,4,,4,3,,4,2,2,4,33
Santa Clara,12,7,9,6,11,12,6,10,13,10,14,14,124
Santa Cruz,,3,2,,3,1,,4,4,2,,,19
Shasta,2,1,3,,1,6,2,5,4,2,5,3,34
Sierra,2,,,,,,,,1,,,,3
Siskiyou,,2,3,1,,1,1,1,,,,,9
Solano,7,4,2,3,5,2,2,3,8,3,3,1,43
Sonoma,3,1,6,2,2,2,5,5,1,3,4,2,36
Stanislaus,2,5,6,3,5,5,6,6,7,6,3,9,63
Sutter,2,,1,,2,3,,5,,5,3,1,22
Tehama,1,1,,1,1,,,3,1,2,2,3,15
Trinity,,1,,,2,,1,,2,1,,1,8
Tulare,3,2,7,2,4,5,4,9,8,9,2,5,60
Tuolumne,4,1,1,,1,,,1,2,1,,1,12
Ventura,1,,4,4,9,3,5,5,3,5,1,3,43
Yolo,3,1,2,2,4,2,2,2,,2,3,1,24
Yuba,1,1,,1,1,1,1,2,2,2,1,,13
Total,282,234,257,254,275,298,288,307,304,306,336,297,"3,438"